N_Nodi,Algo,Taglio,CPU_Time_sec
500,Random,3149,0.00423
500,LocalSearch,3825,0.001336
1000,Random,12586,0.012089
1000,LocalSearch,14792,0.005049
2000,Random,50476,0.022747
2000,LocalSearch,56423,0.012911
4000,Random,201258,0.098151
4000,LocalSearch,218771,0.093976
